Geolocation,Year,Changes in Inventories,Current Health Expenditure,Current Health Expenditure GR,Consumption Expenditure %,Consumption Expenditure GR,Gross Capital Formation,GRDP,Population,Primary Drop-out rate,Primary Drop-out rate (Girls),Primary Drop-out rate (Boys),Secondary Drop-out rate,Secondary Drop-out rate (Girls),Secondary Drop-out rate (Boys),Price Index for Agriculture
Region 10: Northern Mindanao,2006,13399986.0,,,3.1,9.0,51278595.0,248747368.0,3999827.0,8.07,6.33,9.66,10.7,8.8,12.7,
Region 11: Davao Region,2006,-17199083.0,,,3.5,1.8,44995751.0,260394849.0,4161626.0,10.49,8.67,12.17,12.1,10.5,13.8,
Region 12: SOCCSKSARGEN,2006,-7410550.0,,,3.4,4.9,22344500.0,162095898.0,3418378.0,8.87,7.37,10.3,10.4,8.9,12.1,
CARAGA: Cordillera Administrative Region,2006,-10577337.0,,,2.4,1.2,15474356.0,95817471.0,2303231.0,8.53,6.62,10.27,10.0,8.3,11.8,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2006,2060334.0,,,2.0,15.4,18243650.0,89250281.0,3358251.0,19.76,16.95,22.69,24.8,23.3,26.5,
PHILIPPINES,2007,-198481639.0,,,100.0,6.8,1160979516.0,7198244888.0,87748896.0,5.99,4.72,7.17,7.5,5.6,9.3,
NCR: National Capital Region,2007,-72647490.0,,,42.9,9.2,410794316.0,2399583921.0,11306759.0,2.83,1.8,3.72,6.1,3.5,8.6,
CAR: Cordillera Administrative Region,2007,2224400.0,,,2.3,3.4,26901466.0,153956921.0,1551914.0,6.41,5.09,7.59,7.8,5.3,10.4,
Region 1: Ilocos Region,2007,-7528468.0,,,4.2,0.8,41310895.0,235792743.0,4595262.0,3.76,2.92,4.52,4.8,3.1,6.6,
Region 2: Cagayan Valley,2007,24258860.0,,,2.7,1.8,71904291.0,154237291.0,3110132.0,4.95,3.71,6.09,6.7,5.3,8.3,
Region 3: Central Luzon,2007,-27299916.0,,,6.3,9.1,92665051.0,721803908.0,9572279.0,3.97,3.02,4.85,6.8,4.9,8.7,
Region 4A: CALABARZON,2007,-56711613.0,,,7.0,0.7,119653336.0,1194749373.0,11652912.0,4.41,3.21,5.5,5.5,3.2,7.7,
MIMAROPA: Southwestern Tagalog Region,2007,-15985915.0,,,2.4,7.0,3017260.0,148513117.0,2621744.0,7.4,6.29,8.4,8.8,7.4,10.2,
Region 5: Bicol Region,2007,350885.0,,,4.0,1.3,37647782.0,178100846.0,5214165.0,5.78,4.61,6.83,8.4,7.0,9.8,
Region 6: Western Visayas,2007,5404782.0,,,4.7,0.3,61931227.0,329317934.0,6857616.0,6.14,4.45,7.65,7.1,5.3,8.8,
Region 7: Central Visayas,2007,-27281777.0,,,2.9,7.5,51229324.0,394422136.0,6483984.0,4.65,3.25,5.9,9.0,6.0,11.9,
Region 8: Eastern Visayas,2007,-24688486.0,,,3.7,9.4,28872332.0,187305762.0,3942341.0,6.99,5.43,8.44,9.8,8.8,10.9,
Region 9: Zamboanga Peninsula,2007,7176296.0,,,3.2,2.7,36393184.0,140783508.0,3263037.0,9.89,8.04,11.6,10.1,8.2,12.1,
