Geolocation,Year,1.2.1 Poverty Proportion,1.4.1 Net Elem Enrolment Rate,1.4.1 Net Elem Enrolment Rate (Girls),1.4.1 Net Elem Enrolment Rate (Boys),1.4.1 Net JHS Enrolment Rate,1.4.1 Net JHS Enrolment Rate (Girls),1.4.1 Net JHS Enrolment Rate (Boys),1.4.1 Net SHS Enrolment Rate,1.4.1 Net SHS Enrolment Rate (Girls),1.4.1 Net SHS Enrolment Rate (Boys),1.5.4 Proportion of LGU with DRR,3.4.1 Mortality rate credited to NCD,3.4.1 Mortality rate credited to Cardio,3.4.1 Mortality rate credited to Cancer,3.4.1 Mortality rate credited to Diabetes,3.4.1 Mortality rate credited to Respi,3.7.1 Proportion of Contraceptive Use of Women,3.7.2 Teenage pregnancy rates per 1000,4.1 Elem Completion Rate,4.1 Elem Completion Rate (Female),4.1 Elem Completion Rate (Male),4.1 JHS Completion Rate,4.1 JHS Completion Rate (Female),4.1 JHS Completion Rate (Male),4.1 SHS Completion Rate,4.1 SHS Completion Rate (Female),4.1 SHS Completion Rate (Male),4.c TVET trainers trained,7.1.1 Proportion of pop with electricity,8.1.1 Growth rate of real GDP per capita,10.1.1.1 Income per capita growth rate of bottom 40,10.1.1.2 Income per capita growth rate,14.5.1.1 Coverage of protected areas,14.5.1.2 Coverage of protected NIPAS and Locally managed MPAs,"16.1.1 Victims of intentional homicide per 100,000",16.1.s1 Number of murder cases,Changes in Inventories,Current Health Expenditure,Current Health Expenditure GR,Consumption Expenditure %,Consumption Expenditure GR,Gross Capital Formation,GRDP,Population,Primary Drop-out rate,Primary Drop-out rate (Girls),Primary Drop-out rate (Boys),Secondary Drop-out rate,Secondary Drop-out rate (Girls),Secondary Drop-out rate (Boys),Price Index for Agriculture
NCR: National Capital Region,2002,,97.38,98.28,96.52,75.28,77.94,72.57,,,,,,,,,,,,84.35,87.65,81.34,75.51,82.07,68.87,,,,,,-0.916195185914262,,,,,,,47446140.0,,,44.8,4.7,312792420.0,1435447457.0,10344788.0,,,,,,,
CAR: Cordillera Administrative Region,2002,,91.52,92.57,90.53,59.64,67.49,52.05,,,,,,,,,,,,77.61,83.19,72.33,59.41,68.1,50.77,,,,,,2.6040397858516684,,,,,,,-854248.0,,,2.7,0.9,16806013.0,104838201.0,1424800.0,,,,,,,
Region 1: Ilocos Region,2002,,89.64,89.37,89.89,68.33,71.88,64.91,,,,,,,,,,,,86.74,90.61,83.26,79.29,83.83,74.83,,,,,,1.7048835749692302,,,,,,,-2366347.0,,,3.9,6.8,29627138.0,147243617.0,4320673.0,,,,,,,
Region 2: Cagayan Valley,2002,,86.71,87.2,86.24,59.54,64.97,54.37,,,,,,,,,,,,72.6,77.27,68.4,69.95,74.04,65.72,,,,,,0.0892515310368935,,,,,,,7073336.0,,,2.6,7.5,37349804.0,96648982.0,2902169.0,,,,,,,
Region 3: Central Luzon,2002,,93.58,93.88,93.3,67.74,72.04,63.59,,,,,,,,,,,,81.14,85.51,77.27,72.88,78.84,66.96,,,,,,3.3510124842543405,,,,,,,-755268.0,,,4.8,7.2,63533211.0,452337803.0,8607944.0,,,,,,,
Region 4A: CALABARZON,2002,,95.97,96.54,95.43,68.16,72.05,64.36,,,,,,,,,,,,77.91,82.09,74.15,77.13,83.0,71.35,,,,,,1.5242211267325132,,,,,,,-9172498.0,,,5.0,5.9,108934789.0,713061159.0,10009909.0,,,,,,,
MIMAROPA: Southwestern Tagalog Region,2002,,91.52,91.7,91.34,57.55,63.04,52.24,,,,,,,,,,,,69.19,75.02,63.99,76.83,80.71,72.6,,,,,,12.48029067157539,,,,,,,1885432.0,,,2.1,6.8,14899234.0,83490454.0,2398060.0,,,,,,,
Region 5: Bicol Region,2002,,90.95,91.95,90.0,54.86,60.81,49.23,,,,,,,,,,,,76.1,81.31,71.4,77.81,82.82,72.6,,,,,,2.378082082721761,,,,,,,6176622.0,,,3.5,6.7,26003348.0,113543367.0,4846614.0,,,,,,,
Region 6: Western Visayas,2002,,85.95,86.7,85.24,57.32,62.88,51.92,,,,,,,,,,,,60.21,63.02,57.47,73.28,80.59,65.69,,,,,,1.2637774514564484,,,,,,,10581660.0,,,5.1,2.9,46626457.0,206272535.0,6409990.0,,,,,,,
Region 7: Central Visayas,2002,,88.09,88.66,87.54,57.3,62.5,52.2,,,,,,,,,,,,79.66,86.24,73.72,81.14,82.56,79.6,,,,,,0.0917591521850624,,,,,,,15639464.0,,,3.0,1.8,72065505.0,236861695.0,5937986.0,,,,,,,
