Geolocation,Year,1.2.1 Poverty Proportion,1.4.1 Net Elem Enrolment Rate,1.4.1 Net Elem Enrolment Rate (Girls),1.4.1 Net Elem Enrolment Rate (Boys),1.4.1 Net JHS Enrolment Rate,1.4.1 Net JHS Enrolment Rate (Girls),1.4.1 Net JHS Enrolment Rate (Boys),1.4.1 Net SHS Enrolment Rate,1.4.1 Net SHS Enrolment Rate (Girls),1.4.1 Net SHS Enrolment Rate (Boys),1.5.4 Proportion of LGU with DRR,3.4.1 Mortality rate credited to NCD,3.4.1 Mortality rate credited to Cardio,3.4.1 Mortality rate credited to Cancer,3.4.1 Mortality rate credited to Diabetes,3.4.1 Mortality rate credited to Respi,3.7.1 Proportion of Contraceptive Use of Women,3.7.2 Teenage pregnancy rates per 1000,4.1 Elem Completion Rate,4.1 Elem Completion Rate (Female),4.1 Elem Completion Rate (Male),4.1 JHS Completion Rate,4.1 JHS Completion Rate (Female),4.1 JHS Completion Rate (Male),4.1 SHS Completion Rate,4.1 SHS Completion Rate (Female),4.1 SHS Completion Rate (Male),4.c TVET trainers trained,7.1.1 Proportion of pop with electricity,8.1.1 Growth rate of real GDP per capita,10.1.1.1 Income per capita growth rate of bottom 40,10.1.1.2 Income per capita growth rate,14.5.1.1 Coverage of protected areas,14.5.1.2 Coverage of protected NIPAS and Locally managed MPAs,"16.1.1 Victims of intentional homicide per 100,000",16.1.s1 Number of murder cases,Changes in Inventories,Current Health Expenditure,Current Health Expenditure GR,Consumption Expenditure %,Consumption Expenditure GR,Gross Capital Formation,GRDP,Population,Primary Drop-out rate,Primary Drop-out rate (Girls),Primary Drop-out rate (Boys),Secondary Drop-out rate,Secondary Drop-out rate (Girls),Secondary Drop-out rate (Boys),Price Index for Agriculture
MIMAROPA: Southwestern Tagalog Region,2016,,94.98,94.88,95.07,73.48,79.26,68.1,35.09,41.66,28.95,82.0,4.2,2.4,0.9,0.5,0.3,,,92.05,94.65,89.72,78.7,83.32,74.03,,,,139.0,84.14145512837325,3.334895580526293,,,,,7.2843871302508285,219.0,-10614285.0,1.2,22.6,2.2,10.8,36490353.0,287300274.0,3006430.0,,,,,,,
Region 5: Bicol Region,2016,,95.77,95.12,96.38,72.78,79.33,66.68,28.35,34.98,22.19,91.0,,3.4,0.9,0.6,0.3,,,94.59,97.36,92.11,76.15,82.6,69.63,,,,467.0,89.96431162635442,5.786055000458632,,,,,8.064076160340429,473.0,8943283.0,4.1,5.7,4.0,10.1,134334431.0,431762419.0,5865520.0,,,,,,,
Region 6: Western Visayas,2016,,99.09,98.42,99.72,74.2,80.81,68.02,32.54,40.11,25.49,25.1,,2.4,1.1,0.5,0.4,,,94.76,97.62,92.23,81.92,87.77,76.18,,,,357.0,94.94571758871248,4.808519586035402,,,,,7.121843574618853,542.0,3271575.0,6.3,9.1,4.6,10.4,119446427.0,720566797.0,7610389.0,,,,,,,
Region 7: Central Visayas,2016,,101.55,101.41,101.69,76.58,83.73,69.9,35.9,44.43,27.91,100.0,4.9,2.8,1.3,0.6,0.2,,,94.93,96.5,93.26,78.33,84.46,72.21,,,,441.0,97.0226648519686,5.625069563063008,,,,,10.490490330576916,788.0,3895526.0,5.6,11.8,4.1,11.3,216329082.0,977480106.0,7511565.0,,,,,,,
Region 8: Eastern Visayas,2016,,94.0,93.79,94.19,70.89,77.28,64.9,28.15,34.79,21.95,100.0,3.7,2.1,0.8,0.5,0.3,,,94.25,97.05,91.71,75.31,80.94,69.68,,,,708.0,89.35298797260126,12.694223943211083,,,,,10.364791736636423,466.0,-6192257.0,3.1,4.1,4.4,10.5,164434444.0,376587299.0,4495990.0,,,,,,,
Region 9: Zamboanga Peninsula,2016,,91.24,90.91,91.56,62.18,69.02,55.73,23.92,29.84,18.34,100.0,4.0,2.3,0.9,0.5,0.2,,,85.75,89.93,82.04,72.42,77.73,66.78,,,,356.0,74.1379520830154,4.087313565651371,,,,,15.90021440701489,582.0,-6384262.0,2.2,4.1,2.7,11.2,97392497.0,322282583.0,3660328.0,,,,,,,
Region 10: Northern Mindanao,2016,,96.57,95.52,97.58,65.08,71.11,59.33,28.97,36.0,22.33,100.0,4.5,2.7,1.0,0.6,0.2,,,91.92,95.11,89.03,79.79,84.84,74.58,,,,585.0,81.67300621702528,6.236030535286744,,,,,16.149133887043956,768.0,7337077.0,3.3,9.6,3.6,10.4,144180307.0,679435851.0,4755673.0,,,,,,,
Region 11: Davao Region,2016,,100.06,100.2,99.92,70.57,77.38,64.16,30.11,37.03,23.54,100.0,4.7,2.8,1.1,0.7,0.3,,,92.22,95.71,89.09,78.87,83.23,74.32,,,,294.0,73.09342361294937,7.452082722023888,,,,,16.18579032556791,804.0,12028030.0,3.6,6.9,3.3,12.1,152803010.0,674076172.0,4967320.0,,,,,,,
Region 12: SOCCSKSARGEN,2016,,93.3,93.53,93.07,65.0,71.36,58.99,26.9,33.12,21.02,100.0,4.0,2.4,0.8,0.5,0.3,,,86.06,89.32,83.1,74.41,77.54,71.16,,,,216.0,70.60136144568145,2.622671086418208,,,,,14.08736590493906,651.0,-10154873.0,3.7,6.1,2.8,10.9,65126975.0,381711706.0,4120287.0,,,,,,,
CARAGA: CARAGA Administrative Region,2016,,97.85,96.65,99.0,71.07,76.97,65.5,28.04,34.25,22.25,74.4,4.1,2.3,0.9,0.6,0.2,,,92.26,94.44,90.3,77.2,79.99,74.35,,,,67.0,96.10087214085895,4.814408537262224,,,,,16.137067643618952,424.0,-1508303.0,1.7,8.6,1.9,11.4,100128554.0,251476878.0,2627491.0,,,,,,,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2016,,77.29,80.79,73.86,32.03,38.09,26.05,6.02,8.08,3.98,12.5,0.8,0.6,0.2,0.1,0.0,,,65.47,68.95,61.82,78.67,79.87,77.11,,,,220.0,40.91513276537529,1.3506760719276656,,,,,15.130509075450632,583.0,-2641420.0,0.8,6.4,3.3,9.9,28089708.0,184572658.0,4354017.0,,,,,,,
PHILIPPINES,2017,,94.19,94.27,94.12,75.99,81.42,70.88,46.12,53.48,39.2,,4.5,2.7,1.0,0.5,0.3,56.9,47.0,92.41,94.61,90.41,84.32,88.12,80.52,,,,11159.0,91.09,5.248499883550579,,,,,8.648427179503965,9009.0,-15471546.0,21.2,4.9,100.0,17.3,4231677010.0,16556651083.0,104169230.0,,,,,,,
NCR: National Capital Region,2017,,92.83,93.5,92.2,84.76,89.56,80.22,62.74,70.11,55.67,,4.9,3.1,1.1,0.5,0.2,59.5,27.0,94.65,96.05,93.35,90.62,94.05,87.22,,,,1028.0,103.02319361347078,4.014293029797472,,,,,11.632285585803938,1543.0,-3527878.0,22.3,11.2,39.8,17.3,1391592148.0,5327124065.0,13264805.0,,,,,,,
CAR: Cordillera Administrative Region,2017,,94.37,93.59,95.13,79.77,85.57,74.31,49.55,59.45,40.26,,3.6,2.1,1.1,0.3,0.2,66.7,25.0,91.64,93.96,89.57,81.23,87.13,75.47,,,,302.0,92.45177212344112,8.263995581124206,,,,,3.413518786016179,60.0,-1400306.0,2.1,10.4,1.9,17.1,35881923.0,280805810.0,1757717.0,,,,,,,
Region 1: Ilocos Region,2017,,92.5,91.83,93.13,85.56,89.64,81.77,60.39,68.15,53.26,,4.9,2.8,1.2,0.5,0.3,59.5,46.0,95.45,96.3,94.7,87.82,91.72,84.1,,,,455.0,99.15406784650264,4.49728745087539,,,,,6.278587559583212,322.0,1990840.0,4.1,9.8,4.2,17.1,163128777.0,527801491.0,5128542.0,,,,,,,
Region 2: Cagayan Valley,2017,,98.45,98.15,98.73,80.89,86.24,75.91,51.49,59.56,44.08,,4.3,2.6,1.1,0.3,0.4,74.1,51.0,93.59,95.48,91.87,83.81,88.15,79.53,,,,612.0,94.77038215768664,6.478262651813864,,,,,7.40593543324581,262.0,-1813875.0,2.3,11.7,2.2,18.3,113995195.0,358686602.0,3537703.0,,,,,,,
Region 3: Central Luzon,2017,,97.91,97.87,97.95,82.84,87.46,78.54,55.99,62.7,49.75,,5.2,3.1,1.2,0.6,0.3,56.8,61.0,96.02,97.61,94.54,85.96,89.9,82.14,,,,262.0,107.08248167389944,8.215194066385024,,,,,6.153771259008462,718.0,-2730350.0,10.7,13.0,7.1,17.9,513606387.0,1860323671.0,11667642.0,,,,,,,
Region 4A: CALABARZON,2017,,96.31,96.59,96.04,82.51,87.21,78.09,53.9,60.55,47.62,,4.9,3.0,1.1,0.6,0.3,49.2,37.0,98.44,99.62,97.19,90.72,93.77,87.71,,,,1067.0,104.9251415142272,5.252561050280164,,,,,9.08832680323905,1371.0,4054462.0,2.8,46.1,7.5,18.3,630500072.0,2423069480.0,15085285.0,,,,,,,
MIMAROPA: Southwestern Tagalog Region,2017,,92.33,92.44,92.24,75.71,81.04,70.72,43.27,50.67,36.37,,3.9,2.3,0.9,0.4,0.3,61.7,47.0,93.17,95.75,90.85,83.89,88.17,79.66,,,,523.0,82.91951578219575,4.76664998852678,,,,,5.309139388505123,162.0,-5470926.0,1.4,-63.0,2.2,17.4,55532730.0,321948705.0,3051342.0,,,,,,,
Region 5: Bicol Region,2017,,93.56,92.96,94.13,75.88,81.86,70.27,39.63,47.68,32.16,,,3.5,0.9,0.5,0.3,44.4,36.0,93.22,95.38,91.29,83.19,87.85,78.46,,,,940.0,78.75184660573929,4.244207116787209,,,,,6.972841791777807,414.0,2236237.0,4.0,11.8,4.0,12.9,142545107.0,465966050.0,5937321.0,,,,,,,
Region 6: Western Visayas,2017,,97.16,96.66,97.64,76.41,82.66,70.54,44.17,52.77,36.17,,,2.3,1.2,0.4,0.4,56.8,38.0,94.12,97.05,91.55,84.7,89.28,80.17,,,,997.0,86.05733186457009,7.1720186028756245,,,,,6.229894284286593,479.0,-2277977.0,6.3,11.7,4.6,23.4,132134843.0,791281769.0,7688734.0,,,,,,,
Region 7: Central Visayas,2017,,98.41,98.35,98.47,78.51,85.53,71.91,47.21,57.06,37.99,,4.7,2.7,1.2,0.5,0.2,51.2,47.0,92.16,95.04,89.59,83.88,88.8,78.99,,,,965.0,95.85921885556762,5.425207785712701,,,,,8.150959972103275,622.0,-1260411.0,5.7,13.7,4.2,19.7,220634348.0,1067272679.0,7631003.0,,,,,,,
Region 8: Eastern Visayas,2017,,92.64,92.5,92.76,74.21,80.55,68.24,38.02,45.87,30.7,,3.7,2.1,0.9,0.5,0.3,54.6,50.0,93.32,95.87,91.04,79.29,84.49,74.1,,,,1307.0,84.31119175829916,1.649893897671717,,,,,8.096341638409923,369.0,-7210397.0,3.0,7.2,4.4,8.2,146448787.0,397386688.0,4557614.0,,,,,,,
Region 9: Zamboanga Peninsula,2017,,90.3,90.4,90.21,65.44,71.71,59.49,30.4,37.34,23.87,,3.9,2.2,0.9,0.4,0.2,56.8,54.0,89.73,93.74,86.15,78.16,82.43,73.68,,,,690.0,63.2422402370314,2.201575393775073,,,,,9.774744929249527,361.0,1193982.0,2.1,12.9,2.7,19.8,103191607.0,344667607.0,3693191.0,,,,,,,
Region 10: Northern Mindanao,2017,,96.43,95.68,97.15,68.09,73.86,62.55,37.31,45.29,29.78,,4.3,2.5,1.0,0.5,0.2,63.0,81.0,90.07,93.78,86.76,79.03,83.68,74.27,,,,607.0,88.96847244635062,4.425701551381508,,,,,9.138650107405043,441.0,2757062.0,3.3,5.5,3.6,15.8,148099836.0,737898187.0,4825658.0,,,,,,,
Region 11: Davao Region,2017,,96.88,97.19,96.59,74.27,80.6,68.28,38.26,45.8,31.09,,4.7,2.8,1.0,0.6,0.3,64.7,87.0,92.11,94.96,89.54,80.17,83.94,76.29,,,,356.0,68.2475258203881,7.052769635041884,,,,,14.658054333445778,740.0,1444163.0,3.6,12.2,3.4,22.8,200147009.0,748538551.0,5048419.0,,,,,,,
Region 12: SOCCSKSARGEN,2017,,91.86,92.3,91.44,68.08,74.2,62.26,35.84,42.84,29.22,,3.9,2.3,0.8,0.5,0.3,66.6,91.0,91.08,93.87,88.53,79.86,83.21,76.4,,,,596.0,64.05366048654206,6.045531295217543,,,,,7.785532820807028,366.0,218198.0,3.6,14.9,2.9,13.3,84449083.0,420127877.0,4190004.0,,,,,,,
CARAGA: CARAGA Administrative Region,2017,,95.89,95.07,96.69,74.54,79.83,69.5,38.11,45.02,31.67,,4.0,2.2,0.9,0.6,0.2,64.5,61.0,90.94,94.02,88.18,82.42,84.98,79.82,,,,107.0,107.16947163516954,4.750191961652888,,,,,12.59286770045966,335.0,-5406063.0,1.7,-1.0,1.9,18.1,115687853.0,273088164.0,2660236.0,,,,,,,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2017,,72.63,75.82,69.51,30.37,35.62,25.18,8.7,11.24,6.19,,0.8,0.6,0.1,0.1,0.0,42.5,47.0,54.17,55.4,52.84,62.13,62.1,62.24,,,,345.0,27.27177478501253,7.882984625553462,,,,,11.289118129179547,444.0,1731693.0,0.8,48.5,3.3,17.5,34101305.0,210663685.0,4444014.0,,,,,,,
PHILIPPINES,2018,16.7,94.05,93.85,94.25,81.41,85.82,77.24,51.24,58.72,44.21,,4.5,2.7,1.0,0.5,0.3,,,97.15,99.12,95.26,88.84,92.97,84.73,81.01,84.78,77.23,10118.0,96.12,4.746743081880211,9.26101763366185,6.522713732982965,,,6.502754758679433,6877.0,-26943785.0,20.0,2.5,100.0,10.6,4959105466.0,18265190258.0,105755180.0,,,,,,,100.0
NCR: National Capital Region,2018,2.2,92.11,92.38,91.85,88.74,92.64,85.04,68.63,76.42,61.17,76.5,4.9,3.1,1.1,0.5,0.2,,,99.04,100.0,97.85,92.8,96.13,89.49,82.64,86.92,78.35,1280.0,107.61481972474664,4.087414314331639,7.0857819830576485,3.844880407956453,,,5.448314928360605,733.0,-8952050.0,22.3,13.7,39.8,11.3,1640251453.0,5814440130.0,13453701.0,,,,,,,
CAR: Cordillera Administrative Region,2018,12.0,92.24,90.99,93.45,83.64,88.13,79.4,53.64,63.31,44.61,97.5,3.8,2.2,1.2,0.3,0.2,,,97.52,98.76,96.2,87.01,93.18,81.04,81.07,88.36,73.88,166.0,95.6221692882457,4.611165931726461,9.647947866217322,10.50268590274419,,,3.999526816545648,71.0,-12287003.0,2.1,14.9,1.9,7.6,32266092.0,308267122.0,1775210.0,,,,,,,100.0
Region 1: Ilocos Region,2018,9.9,90.48,89.67,91.26,87.81,90.68,85.14,64.06,71.24,57.48,100.0,4.9,2.8,1.2,0.5,0.3,,,98.1,99.25,97.02,90.89,94.6,87.35,83.26,86.38,80.25,475.0,102.2016639039135,4.914166629235339,11.312069049301332,9.985571854831532,,,4.441517763174411,230.0,-344781.0,4.0,7.7,4.2,8.0,193759545.0,587597251.0,5178410.0,,,,,,,100.0
Region 2: Cagayan Valley,2018,16.3,96.86,96.36,97.32,84.76,89.01,80.78,56.21,64.13,48.96,100.0,4.5,2.7,1.1,0.3,0.4,,,97.56,99.12,96.13,88.52,92.63,84.36,82.32,86.12,78.47,447.0,97.91379696163504,3.3377751226958026,4.499523261582428,5.014911273648059,,,5.838453619911082,209.0,-1033799.0,2.3,13.7,2.2,8.6,134311405.0,385061271.0,3579715.0,,,,,,,100.0
Region 3: Central Luzon,2018,7.0,98.77,98.32,99.2,85.01,88.83,81.44,60.19,66.35,54.46,99.3,5.2,3.1,1.2,0.6,0.3,,,99.13,99.98,98.01,90.41,93.91,86.96,81.76,84.95,78.57,354.0,109.12455514350349,4.902421012749386,8.215452435312521,5.008588120050272,,,3.72572162518164,443.0,5584131.0,10.9,11.4,7.1,10.3,590017254.0,2062393875.0,11890314.0,,,,,,,100.0
Region 4A: CALABARZON,2018,7.1,97.36,97.37,97.34,86.38,89.97,83.01,58.33,65.05,52.0,100.0,4.9,3.0,1.0,0.6,0.2,,,99.8,100.0,98.74,93.22,96.35,89.79,81.66,85.25,77.8,1440.0,110.43349139695702,4.777452263847295,9.511903003591703,7.614648279746583,,,6.336361296856646,977.0,8412077.0,3.7,-4.1,7.6,10.5,712401187.0,2706994745.0,15418944.0,,,,,,,100.0
MIMAROPA: Southwestern Tagalog Region,2018,15.1,90.99,91.1,90.88,79.74,83.95,75.79,48.14,55.51,41.29,100.0,4.1,2.4,1.0,0.5,0.3,,,94.8,97.14,92.65,83.17,87.63,78.79,70.69,74.48,66.95,709.0,87.27023970656307,7.0526861230534905,10.132831197978852,5.518178024502451,,,5.203019561091367,161.0,813229.0,0.5,163.8,2.2,4.9,78995250.0,370744808.0,3094357.0,,,,,,,100.0
Region 5: Bicol Region,2018,27.0,93.12,92.38,93.82,82.97,87.51,78.71,45.8,54.49,37.74,93.3,,3.3,0.9,0.5,0.3,,,96.43,98.66,94.41,86.43,92.07,80.84,78.34,83.2,73.5,543.0,82.38545700871656,5.667793644779678,8.730943429022119,9.110867775072617,,,6.793264478269795,408.0,-487965.0,4.0,13.7,3.9,14.4,181534196.0,522014835.0,6005949.0,,,,,,,100.0
Region 6: Western Visayas,2018,16.3,97.38,96.47,98.24,84.54,89.21,80.14,49.74,58.72,41.38,20.2,,2.5,1.1,0.5,0.3,,,97.03,98.81,95.42,88.53,92.38,84.74,79.46,83.13,75.75,598.0,92.01106582230256,3.77787499738966,8.430301805565277,7.77713253669563,,,5.757417214909315,447.0,-3692731.0,6.4,3.3,4.8,9.0,155804331.0,860107768.0,7763898.0,,,,,,,100.0
Region 7: Central Visayas,2018,17.7,98.17,97.69,98.62,87.64,93.34,82.27,53.28,63.24,43.97,87.5,4.7,2.7,1.2,0.5,0.2,,,98.59,100.0,96.57,92.29,95.51,88.06,86.49,89.81,81.54,667.0,99.10749387340007,5.513396661881046,14.0630130453411,10.424737109032268,,,9.167184526515564,710.0,-2452424.0,5.9,11.7,4.3,9.7,257710115.0,1180945761.0,7745017.0,,,,,,,100.0
Region 8: Eastern Visayas,2018,30.7,91.53,91.23,91.82,79.27,84.51,74.33,43.2,51.2,35.74,59.5,3.8,2.2,0.9,0.5,0.3,,,94.13,96.94,91.61,82.62,87.76,77.54,75.54,79.31,71.78,500.0,89.16009830482,5.587705099640729,9.328772062969982,6.4311695122207135,,,6.819387757532014,315.0,-9594820.0,2.9,16.2,4.1,8.5,181598780.0,444384029.0,4619183.0,,,,,,,100.0
Region 9: Zamboanga Peninsula,2018,32.7,91.24,91.23,91.25,73.88,79.2,68.79,36.04,43.56,28.98,45.3,4.2,2.6,1.0,0.5,0.2,,,97.02,99.08,94.24,82.52,88.59,76.28,75.14,78.92,71.25,426.0,68.90852194454837,5.447041970100486,6.985012062105822,5.659603426742188,,,9.101770683706755,339.0,-1414695.0,2.1,17.5,2.7,7.6,111476636.0,379428020.0,3724550.0,,,,,,,100.0
Region 10: Northern Mindanao,2018,23.1,97.73,96.49,98.93,75.27,79.85,70.83,41.87,49.74,34.42,85.7,4.4,2.6,1.0,0.6,0.3,,,94.78,96.68,92.78,86.28,90.18,82.2,78.32,81.43,74.25,658.0,92.36390971964536,5.671174885653556,12.69661390560628,5.642720391588263,,,7.460380270911957,365.0,1532626.0,3.2,18.0,3.6,20.3,172667000.0,821122015.0,4892512.0,,,,,,,100.0
Region 11: Davao Region,2018,19.1,95.61,95.76,95.47,82.25,87.76,77.01,45.74,53.9,37.99,100.0,4.6,2.8,1.1,0.6,0.2,,,96.65,99.48,93.44,84.85,90.5,79.18,78.53,83.33,73.64,714.0,83.68633865580261,5.490501473560471,6.7630974960369405,4.445816235369016,,,10.58615315570691,543.0,-205906.0,3.6,15.5,3.5,10.6,240582476.0,841429225.0,5129342.0,,,,,,,100.0
Region 12: SOCCSKSARGEN,2018,28.2,92.04,92.1,91.98,74.49,80.14,69.11,41.5,48.58,34.83,100.0,3.8,2.3,0.8,0.5,0.3,,,94.71,97.47,92.02,81.79,86.12,77.36,74.83,78.07,70.03,493.0,70.42724711615335,5.236694968480293,12.28818368025475,8.80223757797538,,,5.609723576684398,268.0,-1259801.0,3.7,0.0,2.8,6.5,100721169.0,454304549.0,4256317.0,,,,,,,100.0
CARAGA: CARAGA Administrative Region,2018,30.5,94.74,93.68,95.76,80.7,84.84,76.74,44.36,51.42,37.76,76.9,4.0,2.3,1.0,0.6,0.2,,,95.36,98.17,92.8,85.41,89.55,81.32,78.16,80.59,75.73,165.0,115.32059518959218,3.918379024844711,8.021146423066238,6.103810701747436,,,10.623787179540518,286.0,-1475698.0,1.5,18.9,1.9,12.4,132342879.0,290561794.0,2692072.0,,,,,,,100.0
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2018,61.8,73.24,76.39,70.19,35.76,41.36,30.22,11.04,14.05,8.06,53.7,0.9,0.6,0.1,0.1,0.0,,,76.72,79.14,74.2,93.81,93.6,92.8,68.08,67.73,67.6,483.0,34.8264384213029,5.547680020299239,5.923816866112208,6.2167612079545576,,,9.26620845431921,372.0,-84176.0,1.0,14.0,3.3,9.8,42665699.0,235393060.0,4535689.0,,,,,,,100.0
PHILIPPINES,2019,,93.96,94.15,93.79,82.89,87.2,78.8,47.76,55.34,40.65,,4.7,2.8,1.0,0.5,0.3,,,96.56,98.08,95.1,85.75,89.69,81.89,76.71,80.45,73.03,10855.0,92.96,4.602267657508463,,,3.1435591133,1.42,5.660457375767967,6073.0,-148526300.0,18.6,41.8,100.0,12.6,5153068851.0,19517863172.0,107288150.0,,,,,,,94.375
NCR: National Capital Region,2019,,89.91,90.42,89.43,89.68,93.47,86.06,62.28,70.0,54.93,,5.0,3.1,1.1,0.5,0.2,,,94.97,95.7,94.21,87.31,90.32,84.37,76.28,79.62,72.96,1409.0,100.0,5.634448060763347,,,0.0001079646999999,4.8931494357895e-05,4.620971420612041,630.0,-170725161.0,23.0,-15.1,40.0,13.6,1598461505.0,6294194685.0,13633497.0,,,,,,,
CAR: Cordillera Administrative Region,2019,,91.4,90.51,92.25,84.76,88.9,80.81,50.53,60.28,41.46,,4.1,2.5,1.1,0.3,0.2,,,95.81,97.17,94.57,81.69,87.61,76.02,76.25,82.86,69.88,260.0,93.3197097107464,3.3937995673509533,,,0.0,0.0,4.799425854730308,86.0,-21374032.0,2.2,10.4,1.9,9.2,23666821.0,322106088.0,1791881.0,,,,,,,85.475
Region 1: Ilocos Region,2019,,89.99,89.61,90.35,89.85,92.83,87.06,61.54,69.23,54.5,,4.9,2.8,1.2,0.5,0.3,,,98.97,99.54,98.44,89.12,92.9,85.58,80.57,84.22,77.13,501.0,98.68733767558822,6.305167849348138,,,0.0120826579,0.0054760723353302,3.540127827318305,185.0,3195818.0,3.9,26.1,4.1,9.6,228616710.0,630300658.0,5225800.0,,,,,,,89.775
Region 2: Cagayan Valley,2019,,97.17,97.02,97.31,88.81,93.13,84.75,56.46,65.2,48.45,,4.7,2.8,1.2,0.4,0.4,,,97.51,98.93,96.13,87.7,91.53,84.02,80.76,84.19,77.44,686.0,95.53569208583008,5.689419284241978,,,0.2808040993,0.1272653395097817,4.613656035090307,167.0,4908941.0,2.4,23.6,2.2,10.8,146410694.0,399370781.0,3619689.0,,,,,,,88.8
Region 3: Central Luzon,2019,,100.03,100.03,100.02,87.69,91.57,84.04,58.03,64.94,51.62,,5.3,3.2,1.1,0.6,0.3,,,98.67,99.58,97.54,89.7,92.8,86.71,77.12,79.89,74.44,839.0,99.42919661273972,4.003512626426513,,,0.3646988666,0.1652879184897341,3.5025419037009144,424.0,-34811984.0,11.0,12.3,7.1,11.2,610978504.0,2184815143.0,12105494.0,,,,,,,88.6
Region 4A: CALABARZON,2019,,98.23,98.61,97.87,87.85,91.62,84.29,54.79,61.84,48.16,,5.1,3.1,1.1,0.6,0.3,,,99.45,99.82,98.77,90.12,92.92,87.41,79.68,82.79,76.63,817.0,99.01244009470896,2.4520458212251413,,,0.0006101422999999,0.0002765271844404,5.265941813058049,829.0,98541144.0,3.2,-18.8,7.6,12.1,766853055.0,2865792547.0,15742673.0,,,,,,,100.225
MIMAROPA: Southwestern Tagalog Region,2019,,90.26,90.75,89.79,81.12,85.31,77.19,46.0,53.52,39.02,,4.3,2.5,1.0,0.5,0.3,,,96.65,98.42,95.0,85.19,89.24,81.28,72.04,75.79,68.38,413.0,90.25045849519825,2.957077423179186,,,0.6357962823999999,0.2881540189064223,4.114172431026218,129.0,14079039.0,1.1,-11.5,2.1,11.6,88406153.0,375589553.0,3135503.0,,,,,,,87.15
Region 5: Bicol Region,2019,,92.68,92.25,93.09,82.27,86.59,78.18,42.31,50.91,34.35,,,3.5,0.9,0.5,0.3,,,95.6,97.72,93.65,82.52,87.72,77.53,72.83,77.48,68.35,571.0,91.5266178403694,7.05668240078532,,,0.3967129266,0.1797972515982716,4.941201350990332,300.0,-1902098.0,4.1,16.8,4.0,11.0,202053823.0,560835429.0,6071398.0,,,,,,,91.05
Region 6: Western Visayas,2019,,97.25,96.75,97.74,85.68,89.96,81.63,44.22,52.66,36.34,,,2.5,1.1,0.5,0.4,,,96.7,98.13,95.4,85.19,89.82,80.77,77.24,81.6,72.73,317.0,90.91694982689992,5.279093236831315,,,0.0331462146,0.0150224454167471,5.462051947432089,428.0,3767878.0,6.0,23.9,4.8,10.1,176527730.0,919163055.0,7835883.0,,,,,,,99.25
Region 7: Central Visayas,2019,,98.07,98.05,98.08,88.52,93.97,83.37,47.81,57.12,39.12,,4.8,2.8,1.2,0.6,0.2,,,96.3,98.07,94.45,83.76,89.02,78.67,77.4,82.69,71.26,769.0,96.8050458229654,4.727351325261139,,,0.5452987105,0.247138933153134,7.830797725274223,615.0,1950007.0,5.9,7.3,4.2,12.7,303559170.0,1270612311.0,7853606.0,,,,,,,91.175
Region 8: Eastern Visayas,2019,,91.6,91.76,91.44,80.05,84.85,75.5,42.08,50.92,33.84,,3.9,2.2,0.9,0.5,0.3,,,95.48,96.79,94.26,81.77,86.8,76.86,73.49,77.38,69.72,429.0,94.00859913602925,4.217210446058076,,,0.1017401606,0.0461104240031253,6.772489847140418,317.0,7516530.0,3.0,3.0,4.0,11.5,196623541.0,455533643.0,4680701.0,,,,,,,94.175
Region 9: Zamboanga Peninsula,2019,,91.7,92.2,91.22,74.24,79.54,69.13,34.43,42.28,27.06,,4.5,2.7,1.0,0.5,0.3,,,94.94,97.93,92.14,77.27,82.93,71.57,68.39,73.36,63.18,557.0,72.35588743510853,3.767957904440067,,,0.2789008849,0.1264027693856999,7.671025922474161,288.0,-3490358.0,2.2,21.6,2.7,14.6,110388664.0,399109397.0,3754387.0,,,,,,,94.225
Region 10: Northern Mindanao,2019,,99.23,98.33,100.1,76.75,81.13,72.47,38.05,45.48,31.02,,4.4,2.7,1.0,0.5,0.3,,,94.44,96.74,92.32,82.2,85.8,78.59,73.29,77.08,69.24,905.0,92.50294123569292,4.2811620531823,,,0.0012422059999999,0.0005629895315815,7.203013401841994,357.0,10024531.0,3.4,11.8,3.9,15.1,192933853.0,885223985.0,4956259.0,,,,,,,97.475
Region 11: Davao Region,2019,,93.87,94.63,93.15,85.44,90.98,80.15,41.53,49.67,33.81,,4.8,2.8,1.0,0.6,0.3,,,95.29,97.85,92.88,81.51,86.45,76.56,72.25,76.7,67.46,910.0,86.02051363060008,5.4069549220390485,,,0.027728627,0.0125670997613356,8.867424517968148,462.0,-28611108.0,3.8,17.2,3.5,13.9,266581670.0,922613763.0,5210081.0,,,,,,,95.55
Region 12: SOCCSKSARGEN,2019,,92.24,92.68,91.82,75.89,81.29,70.7,37.45,44.41,30.88,,3.9,2.3,0.8,0.5,0.3,,,96.01,98.09,94.07,82.51,86.88,78.06,73.02,77.2,67.52,338.0,81.76228728061827,1.944145654066048,,,0.2099779081999999,0.0951656683190977,5.2573753244367545,255.0,-8912174.0,3.4,18.8,2.7,12.1,87197719.0,474892618.0,4319226.0,,,,,,,96.425
