Geolocation,Year,3.4.1 Mortality rate creditted to NCD,3.4.1 Mortality rate creditted to Cardio,3.4.1 Mortality rate creditted to Cancer,3.4.1 Mortality rate creditted to Diabetes,3.4.1 Mortality rate creditted to Respi,3.7.1 Proportion of Contraceptive Use of Women,3.7.2 Teenage pregnancy rates per 1000
PHILIPPINES,2019,4.7,2.8,1.0,0.5,0.3,,
NCR: National Capital Region,2019,5.0,3.1,1.1,0.5,0.2,,
CAR: Cordillera Administrative Region,2019,4.1,2.5,1.1,0.3,0.2,,
Region 1: Ilocos Region,2019,4.9,2.8,1.2,0.5,0.3,,
Region 2: Cagayan Valley,2019,4.7,2.8,1.2,0.4,0.4,,
Region 3: Central Luzon,2019,5.3,3.2,1.1,0.6,0.3,,
Region 4A: CALABARZON,2019,5.1,3.1,1.1,0.6,0.3,,
MIMAROPA: Southwestern Tagalog Region,2019,4.3,2.5,1.0,0.5,0.3,,
Region 5: Bicol Region,2019,,3.5,0.9,0.5,0.3,,
Region 6: Western Visayas,2019,,2.5,1.1,0.5,0.4,,
Region 7: Central Visayas,2019,4.8,2.8,1.2,0.6,0.2,,
Region 8: Eastern Visayas,2019,3.9,2.2,0.9,0.5,0.3,,
Region 9: Zamboanga Peninsula,2019,4.5,2.7,1.0,0.5,0.3,,
Region 10: Northern Mindanao,2019,4.4,2.7,1.0,0.5,0.3,,
Region 11: Davao Region,2019,4.8,2.8,1.0,0.6,0.3,,
Region 12: SOCCSKSARGEN,2019,3.9,2.3,0.8,0.5,0.3,,
CARAGA: Cordillera Administrative Region,2019,3.4,2.5,1.0,0.7,0.2,,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2019,1.0,0.5,0.1,0.1,0.1,,
PHILIPPINES,2020,4.6,2.8,1.0,0.6,0.2,,
NCR: National Capital Region,2020,4.8,3.1,1.0,0.6,0.1,,
CAR: Cordillera Administrative Region,2020,3.8,2.1,1.2,0.3,0.2,,
Region 1: Ilocos Region,2020,4.9,2.9,1.2,0.6,0.3,,
Region 2: Cagayan Valley,2020,4.3,2.5,1.1,0.4,0.3,,
Region 3: Central Luzon,2020,5.2,3.1,1.1,0.7,0.2,,
Region 4A: CALABARZON,2020,5.1,3.2,1.0,0.8,0.2,,
MIMAROPA: Southwestern Tagalog Region,2020,4.2,2.5,0.9,0.6,0.2,,
Region 5: Bicol Region,2020,,3.4,0.8,0.6,0.3,,
Region 6: Western Visayas,2020,,2.6,1.1,0.6,0.3,,
Region 7: Central Visayas,2020,4.9,2.8,1.2,0.7,0.2,,
Region 8: Eastern Visayas,2020,4.0,2.4,0.8,0.6,0.2,,
Region 9: Zamboanga Peninsula,2020,4.5,2.8,1.0,0.5,0.2,,
Region 10: Northern Mindanao,2020,4.4,2.7,1.0,0.6,0.2,,
Region 11: Davao Region,2020,4.8,2.9,1.0,0.7,0.2,,
Region 12: SOCCSKSARGEN,2020,4.1,2.5,0.8,0.6,0.2,,
CARAGA: Cordillera Administrative Region,2020,4.5,2.4,1.0,0.9,0.2,,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2020,1.2,0.9,0.2,0.1,0.1,,
