Geolocation,Year,8.1.1 Growth rate of real GDP per capita
Region 12: SOCCSKSARGEN,2017,6.045531295217543
CARAGA: CARAGA Administrative Region,2017,4.750191961652888
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2017,7.882984625553462
PHILIPPINES,2018,4.746743081880211
NCR: National Capital Region,2018,4.087414314331639
CAR: Cordillera Administrative Region,2018,4.611165931726461
Region 1: Ilocos Region,2018,4.914166629235339
Region 2: Cagayan Valley,2018,3.3377751226958026
Region 3: Central Luzon,2018,4.902421012749386
Region 4A: CALABARZON,2018,4.777452263847295
MIMAROPA: Southwestern Tagalog Region,2018,7.0526861230534905
Region 5: Bicol Region,2018,5.667793644779678
Region 6: Western Visayas,2018,3.77787499738966
Region 7: Central Visayas,2018,5.513396661881046
Region 8: Eastern Visayas,2018,5.587705099640729
Region 9: Zamboanga Peninsula,2018,5.447041970100486
Region 10: Northern Mindanao,2018,5.671174885653556
Region 11: Davao Region,2018,5.490501473560471
Region 12: SOCCSKSARGEN,2018,5.236694968480293
CARAGA: CARAGA Administrative Region,2018,3.918379024844711
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2018,5.547680020299239
PHILIPPINES,2019,4.602267657508463
NCR: National Capital Region,2019,5.634448060763347
CAR: Cordillera Administrative Region,2019,3.3937995673509533
Region 1: Ilocos Region,2019,6.305167849348138
Region 2: Cagayan Valley,2019,5.689419284241978
Region 3: Central Luzon,2019,4.003512626426513
Region 4A: CALABARZON,2019,2.4520458212251413
MIMAROPA: Southwestern Tagalog Region,2019,2.957077423179186
Region 5: Bicol Region,2019,7.05668240078532
Region 6: Western Visayas,2019,5.279093236831315
Region 7: Central Visayas,2019,4.727351325261139
Region 8: Eastern Visayas,2019,4.217210446058076
Region 9: Zamboanga Peninsula,2019,3.767957904440067
Region 10: Northern Mindanao,2019,4.2811620531823
Region 11: Davao Region,2019,5.4069549220390485
Region 12: SOCCSKSARGEN,2019,1.944145654066048
CARAGA: CARAGA Administrative Region,2019,4.2053773631326266
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2019,3.712420007435256
PHILIPPINES,2020,-10.806601909378458
NCR: National Capital Region,2020,-11.200475647115397
CAR: Cordillera Administrative Region,2020,-10.6822300602702
Region 1: Ilocos Region,2020,-8.477175571996838
Region 2: Cagayan Valley,2020,-10.815141416595267
Region 3: Central Luzon,2020,-15.362292689036266
Region 4A: CALABARZON,2020,-12.21894889067751
MIMAROPA: Southwestern Tagalog Region,2020,-8.745932208811723
Region 5: Bicol Region,2020,-9.336294580959333
Region 6: Western Visayas,2020,-10.468294980402163
Region 7: Central Visayas,2020,-11.080145311942118
Region 8: Eastern Visayas,2020,-8.845496386015327
Region 9: Zamboanga Peninsula,2020,-5.959314029976284
Region 10: Northern Mindanao,2020,-6.32274577538287
Region 11: Davao Region,2020,-9.046379023361382
Region 12: SOCCSKSARGEN,2020,-5.555508858458907
CARAGA: CARAGA Administrative Region,2020,-8.23756351080685
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2020,-3.881251524882487
PHILIPPINES,2021,4.2
