1.4.1p6 Net Enrolment Rate in secondary education (Indicator is also found in SDG 4.3.s2),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
,..BARMM,Both Sexes,23.5,20.48,23.69,29.37,28.43,35.61,32.56,34.58,37.98,10.08,44.54,44.32,39.88,38.02,30.41,33.49,32.03,30.37,35.76,36.48,37.1877,...,...
,,Boys,22.39,18.89,20.3,26.11,25.73,31.69,28.92,30.52,33.24,28.1,38,37.05,33.26,31.03,24.32,27.26,26.05,25.18,30.22,31.07,31.543,...,...
,,Girls,24.59,22.05,27.04,32.58,31.1,39.49,36.16,38.59,42.57,37.3,51.13,51.64,46.55,45.08,36.58,39.8,38.09,35.62,41.36,41.96,42.8858,...,...
Senior High School,PHILIPPINES,Both Sexes,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37.38,46.12,51.24,47.76,49.48,...,...
,,Boys,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31.03,39.2,44.21,40.65,42.0505,...,...
,,Girls,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,44.14,53.48,58.72,55.34,57.4119,...,...
,..National Capital Region (NCR),Both Sexes,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,55.32,62.74,68.63,62.28,56.4435,...,...
,,Boys,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,47.9,55.67,61.17,54.93,49.4413,...,...
,,Girls,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,63.06,70.11,76.42,70.0,63.8118,...,...
,..Cordillera Administrative Region (CAR),Both Sexes,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40.16,49.55,53.64,50.53,52.8763,...,...
,,Boys,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31.85,40.26,44.61,41.46,43.3977,...,...
,,Girls,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,49.0,59.45,63.31,60.28,63.109,...,...
