4.1.s1 Completion Rate of elementary and secondary students 1/ 2/,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
Year,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018.0,2019.0,2020.0,2021,2022
Geolocation,Level of Education,Sex,,,,,,,,,,,,,,,,,,,,,,,
..Region VIII,Elementary,Both Sexes,56.84,63.64,64.43,68.19,68.99,58.44,65.39,69.51,71.65,69.46,71.79,66.11,74.04,80.9,85.37,87.94,94.25,93.32,94.13,95.48,95.23336964130102,...,...
,,Female,62.39,67.98,71.93,76.53,77.8,65.11,71.1,75.76,78.32,75.79,77.73,72.18,79.34,85.78,88.32,92.06,97.05,95.87,96.94,96.79,96.7255849525635,...,...
,,Male,51.73,59.57,57.81,60.94,61.33,52.54,60.14,63.93,65.81,64.04,66.63,60.9,69.45,76.64,82.73,84.3,91.71,91.04,91.61,94.26,93.84357719530054,...,...
,Secondary (Junior High School),Both Sexes,64.25,64.9,63.49,68.88,71.67,54.1,69.02,69.68,70.56,69.88,69.7,67.78,70.66,74.06,69.16,70.14,75.31,79.29,82.62,81.77,89.4398617982444,...,...
,,Female,66.44,67.38,67.31,73.5,76.28,59.36,72.75,72.61,74.56,72.87,74.24,74.16,75.69,79.47,73.71,75.88,80.94,84.49,87.76,86.8,93.42314037081383,...,...
,,Male,61.72,62.05,59.41,64.03,66.8,48.52,65.03,66.49,66.29,66.69,65.05,61.46,65.57,68.7,64.79,64.63,69.68,74.1,77.54,76.86,85.55364945278997,...,...
,Secondary (Senior High School),Both Sexes,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,75.54,73.49,82.50550388063633,...,...
,,Female,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,79.31,77.38,87.93789767316056,...,...
,,Male,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,71.78,69.72,77.17285985547201,...,...
..Region IX,Elementary,Both Sexes,51.01,48.56,47.47,56.41,54.02,53.8,58.6,60.14,58.77,59.84,58.72,59.93,55.49,60.78,92.86,79.7,85.75,89.73,97.02,94.94,84.45786746776032,...,...
,,Female,56.86,51.6,52.53,63.15,62.26,60.7,65.84,67.07,64.91,66.58,65.11,66.73,61.28,64.87,94.92,84.08,89.93,93.74,99.08,97.93,87.32174864075151,...,...
,,Male,45.74,45.74,43.11,50.55,47.05,47.82,52.38,54.07,53.45,54.11,53.27,54.09,50.5,57.12,90.69,75.82,82.04,86.15,94.24,92.14,81.75706369841477,...,...
